src/dst,Atlanta_1,Atlanta_2,Chicago,Denver,Houston,Indianapolis,Kansas City,Los Angeles,New York,Seattle,Sunnyvale,Washington DC
Atlanta_1,1.67426666666667e-05,0.000124706333333333,0.000286029,0.0,0.000230900666666667,7.28383333333333e-05,3.77203333333333e-05,0.0,0.000155918666666667,1.42e-05,1.53746666666667e-05,0.000216907
Atlanta_2,0.0,0.004368861,0.00530953466666667,1.45373333333333e-05,0.00697442833333333,0.003512209,0.000777488666666667,0.0,0.00323806133333333,1.61133333333333e-05,0.000218842333333333,0.0077702
Chicago,0.0,0.00514171466666667,0.0167852646666667,0.00242412066666667,0.0155240966666667,0.00875946933333333,0.00198310733333333,1.7392e-05,0.005634021,6.66666666666667e-06,0.000266780666666667,0.008195902
Denver,0.0,0.00153901066666667,0.007895561,0.00124075166666667,0.00603474,0.00599488333333333,0.00269373133333333,3.0323e-05,0.00312369066666667,0.00113178866666667,4.88173333333333e-05,0.00570197633333333
Houston,0.0,0.00340546366666667,0.000171749333333333,3.349e-06,0.016912312,0.0,3.816e-06,6.66666666666667e-06,0.00111738433333333,3.33333333333333e-06,2.61956666666667e-05,0.016816417
Indianapolis,0.0,0.00311602366666667,0.017101514,0.00205390866666667,0.0118046416666667,0.003858771,0.003016245,0.0,0.00650922933333333,0.000109085333333333,0.000620312666666667,0.00541550666666667
Kansas City,0.0,0.000864331666666667,0.00404329333333333,0.00140590133333333,0.00302949233333333,0.00177737233333333,0.000759335666666667,4e-06,0.00124935733333333,0.0,0.000120311,0.002334291
Los Angeles,0.0,0.00268348333333333,0.001351441,0.00255464133333333,0.02254435,2.19626666666667e-05,8.7347e-05,0.00333052433333333,0.009035612,0.00192074733333333,0.00501394666666667,0.0157296653333333
New York,0.0,0.00713111333333333,0.0136806623333333,0.00507526633333333,0.0211196473333333,0.00828749766666667,0.00362974633333333,2.52236666666667e-05,0.02520477,9.69883333333333e-05,0.00152447466666667,0.0193423513333333
Seattle,0.0,0.000122455,1.66666666666667e-05,0.00129925866666667,0.000486487333333333,3.33333333333333e-06,4.74076666666667e-05,0.00447295566666667,0.000581176333333333,0.001506991,0.00543430166666667,0.000126429333333333
Sunnyvale,0.0,0.001356806,0.000564354666666667,0.001193473,0.005900668,9.178e-06,0.000740541333333333,0.00324090766666667,0.00248801,0.000733571666666667,0.000601932666666667,0.00245498766666667
Washington DC,0.0,0.02020336,0.0150990843333333,0.002391744,0.0342917633333333,0.00614128033333333,0.00366712933333333,1e-05,0.0250700873333333,5.4607e-05,0.00115864166666667,0.0311774193333333
