src/dst,Atlanta_1,Atlanta_2,Chicago,Denver,Houston,Indianapolis,Kansas City,Los Angeles,New York,Seattle,Sunnyvale,Washington DC
Atlanta_1,1.07493333333333e-05,5.14596666666667e-05,0.000151787666666667,0.0,0.000249473333333333,0.000148537333333333,8.96273333333333e-05,0.0,0.000126223666666667,0.0,4.592e-06,0.000428935333333333
Atlanta_2,0.0,0.00387704866666667,0.00421796966666667,7.09333333333333e-06,0.00712035733333333,0.00426022733333333,0.000977288666666667,6.66666666666667e-06,0.00270899966666667,0.0,3.8503e-05,0.006439323
Chicago,0.0,0.00459072933333333,0.0157002576666667,0.00436035066666667,0.018264772,0.01145657,0.002580679,7.42693333333333e-05,0.007206062,6.66666666666667e-06,0.000170510333333333,0.00816257566666667
Denver,0.0,0.00131655533333333,0.007369037,0.001170597,0.00585374166666667,0.004572152,0.002312215,1e-05,0.00265931333333333,0.00110527966666667,1.33333333333333e-05,0.00487564433333333
Houston,0.0,0.00437807333333333,0.000114644,0.0,0.0212798683333333,3.33333333333333e-06,0.0,0.0,0.000795736,0.0,1.33333333333333e-05,0.0168270976666667
Indianapolis,0.0,0.00423934266666667,0.0212649513333333,0.00218903133333333,0.0182265353333333,0.00773555966666667,0.00258796966666667,0.0,0.0111902656666667,4.7859e-05,0.000165232,0.00713388333333333
Kansas City,0.0,0.00111406733333333,0.00439205233333333,0.00141095233333333,0.002195346,0.00262366133333333,0.00106138766666667,4.524e-06,0.00122109033333333,1e-05,3.8069e-05,0.00315649633333333
Los Angeles,0.0,0.00348615833333333,0.00165083866666667,0.00426934766666667,0.026151599,5.65793333333333e-05,1.49793333333333e-05,0.00272267033333333,0.0125948016666667,0.00122324066666667,0.00398068,0.0151019106666667
New York,0.0,0.00650339266666667,0.017133058,0.00548123066666667,0.021736057,0.00559244933333333,0.003461639,5.35843333333333e-05,0.027704802,0.0,0.000906817333333333,0.0179419396666667
Seattle,0.0,8.17043333333333e-05,1.33333333333333e-05,0.000263159,0.00204750266666667,3.33333333333333e-06,5.68113333333333e-05,0.00537977233333333,0.000613445333333333,0.00189949033333333,0.00616009066666667,0.000120852333333333
Sunnyvale,0.0,0.00186404833333333,0.000334417,0.000829971,0.00697415533333333,8.16e-06,0.000826844,0.00306485333333333,0.00220542,0.000640029,0.000497855,0.001708081
Washington DC,0.0,0.010495188,0.0197202186666667,0.000827214666666667,0.0292623746666667,0.00481059333333333,0.00471297966666667,2.0031e-05,0.023061364,1.89133333333333e-05,0.000947723333333333,0.0290499746666667
