src/dst,Atlanta_1,Atlanta_2,Chicago,Denver,Houston,Indianapolis,Kansas City,Los Angeles,New York,Seattle,Sunnyvale,Washington DC
Atlanta_1,0.0,6.66666666666667e-06,1.372e-05,3.33333333333333e-06,3.33333333333333e-06,6.66666666666667e-06,9.20966666666667e-06,1.33333333333333e-05,0.0,0.0,0.0,6.66666666666667e-06
Atlanta_2,3.39233333333333e-06,0.00676437933333333,0.000526263666666667,0.000493961,6.48713333333333e-05,0.00152369766666667,0.000333045333333333,0.00237338666666667,0.00186084466666667,8.57373333333333e-05,0.000575769,0.00430975933333333
Chicago,3.60876666666667e-05,0.00200588833333333,0.0127467493333333,0.00144856,0.000292115666666667,0.00390220533333333,0.000387571666666667,0.004673202,0.000527266,0.000140642666666667,0.000641879666666667,0.001729157
Denver,1.6628e-05,0.000442987,0.004016255,0.00104158033333333,0.00218213866666667,0.00217375966666667,0.002523678,0.00102399666666667,0.000908903666666667,0.00138571733333333,0.00100385066666667,0.00382799633333333
Houston,3.5124e-05,0.001878171,0.00226050266666667,0.000143121333333333,0.000844599,6.37163333333333e-05,0.000134989666666667,0.001713901,0.000283962666666667,0.0,0.000258308,0.00141761933333333
Indianapolis,0.0,0.00129845733333333,0.00390435233333333,0.000636539,0.000148208666666667,0.000754909666666667,0.000242809333333333,0.004970449,0.00410736566666667,6.524e-05,0.000702985666666667,0.00275224
Kansas City,0.000157671,0.000615161,0.00148098166666667,0.001419983,0.00178279933333333,0.000813707,0.000604284,0.000742551666666667,0.000250853,1.31183333333333e-05,0.000216296666666667,0.001895341
Los Angeles,5.16783333333333e-05,0.00254225333333333,0.00966640166666667,0.002943442,0.000604535,0.002880133,0.000536532,0.00228246366666667,0.00671851533333333,0.001185127,0.00310787733333333,0.015120123
New York,6.52633333333333e-06,0.003616042,0.003144467,0.00415934666666667,0.00130657266666667,0.00317498466666667,0.00128652733333333,0.0103411683333333,0.0181043756666667,0.000277069,0.00210558,0.00487706666666667
Seattle,0.0,6.66666666666667e-06,1e-05,0.000144582666666667,8.20533333333333e-06,0.00116794333333333,0.0,0.00355589766666667,5.76593333333333e-05,0.001163424,0.002792671,1.23756666666667e-05
Sunnyvale,0.0,0.00117751266666667,0.00171866966666667,0.000295078,0.000318700666666667,0.000715614,0.000217553666666667,0.00300194533333333,0.000661538666666667,0.001194164,0.000170313666666667,0.000445205666666667
Washington DC,2.64246666666667e-05,0.009284072,0.00674236166666667,0.00812204633333333,0.00292434533333333,0.00585101133333333,0.00185779666666667,0.0153568966666667,0.0192895013333333,0.001490357,0.003653831,0.020245416
